pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
DIRMEIER_LMP1_RESPONSE_EARLY	0.00699300699300699	0.0533665052895822	0.762736790444765	2.90854645966769	0	66	FTH1|ACTB|EEF1A1|RPS9|LCP1|NFKBIA|ZFP36|EIF1|MCL1|GPR183|BTG2|CCL4|RPS16|EGR1|FAM100B|EGR3|EGR2|KDM6B|PPP1R15A|JUNB|BCL2A1|GADD45B|INSIG1|CD69|CCR7|CCL3|IER2|TNFAIP3|DUSP5|BIRC3|RPS10|SIAH2|ICAM1|DUSP2|CD83|JUP|IRF7|SERPINF2|ZC3H12A|TRAF4|UBE2M
LEE_LIVER_CANCER_ACOX1_UP	0.00699300699300699	0.0533665052895822	0.555910168017848	2.08545369059649	0	64	CD63|HLA-DQA1|CSTB|CD74|RGS2|CTSL1|ANXA5|SLPI|LCN2|ETS2|SPRR1A|SGK1|CD24|RPL12|TAGLN2|RPL36|IGFBP1|NDRG1|QPCT
GAURNIER_PSMD4_TARGETS	0.00709219858156028	0.0540368794326241	0.594872500098347	2.31833142878318	0	72	HLA-DRA|HLA-DQA1|HLA-A|B2M|CCL2|HLA-B|HLA-C|IL1R2|HLA-G|HLA-DPA1|HLA-DRB4|HLA-E|HLA-DRB3|IL2RG|C5AR1|HLA-H|CXCL2|CCR7|CCL3|CXCL16|C3AR1
KEGG_VIRAL_MYOCARDITIS	0.00714285714285714	0.0540767658414717	0.58095216821724	2.23775778937938	0	70	HLA-DRA|HLA-DQA1|ACTB|HLA-A|HLA-B|HLA-C|CD55|HLA-G|HLA-DPA1|HLA-DRB4|ACTG1|HLA-E|HLA-DRB3|BID|RAC2|SGCA|ICAM1
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.00714285714285714	0.0540767658414717	0.537728916207121	2.07126702790281	0	70	FTH1|IL8|CTSL1|TXNIP|IER3|MCL1|HSPA1B|EGR1|CXCL2|FCGR2A|DDIT4|ICAM3|INSIG1|IER5|PTP4A3|TXNRD1|CREM|PIM1|SLC2A14|OSGIN1|GFI1B
MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP	0.00714285714285714	0.0540767658414717	0.51049151774502	1.91907247367988	0	65	SAT1|LYZ|YBX1|ANXA5|ANXA1|IFITM2|RPS27|MYL12B|IFITM1|S100A10|IFITM3|JUNB|UBA52|GADD45B|LAPTM4A|ITM2B|TNRC18|COX6B1
KEGG_LEISHMANIA_INFECTION	0.0072992700729927	0.0549117284164159	0.497572734715607	1.87521829255282	0	68	HLA-DRA|HLA-DQA1|NFKBIA|IL1B|HLA-DPA1|TLR2|PTGS2|HLA-DRB4|MARCKSL1|FOS|HLA-DRB3|PRKCB|FCGR2A
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.0072992700729927	0.0549117284164159	0.896113174521679	3.49315752361062	0	73	RPL41|RPS11|RPS2|RPS6|RPS3A|EEF1A1|RPS27A|RPS20|RPL27|RPS9|RPL34|RPS25|RPS13|RPL9|RPLP2|RPL35|RPL23A|RPL35A|RPS27|RPL5|RPL18A|RPS16|RPS18|RPL30|RPL26|RPL6|RPS28|RPL10|RPS3|RPS4X|RPL3|RPS14|UBA52|RPL11|RPL18|RPL12|RPS19|RPL19|RPS15A|RPL17|RPLP0|RPL14|RPL8|RPS8|RPS15|RPS4Y1|RPS24|FAU|RPL36|RPS10
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	0.0072992700729927	0.0549117284164159	0.562135375295734	2.19127167341347	0	73	S100A8|GLUL|IL8|LYZ|RGS2|IL1R2|TXNIP|CD55|GPR183|PELI1|G0S2|PTPRC|AREG|FOSL2|C15orf39|DUSP5|GPR65|BIRC3|CREM|GTPBP1|SLC7A5|LTF|MAX|IDS|VNN2|ASAH1|KLF9|ANKRD11|DDX17|EZR|CYTIP|MNDA|NR4A2
SEKI_INFLAMMATORY_RESPONSE_LPS_UP	0.0072992700729927	0.0549117284164159	0.535120603034666	2.0859648241723	0	73	SOD2|CCL2|NFKBIA|IER3|CD44|TLR2|EGR1|EGR3|EGR2|CXCL2|GADD45B|PTPRE|TNIP1|CCL3|BTG1|CXCL16|REL|TNFAIP3|FOSL1|BIRC3|CASP4|ICAM1|MAFF|ADAMTS7|ZC3H12A|CCRL2|TNFAIP2|NFKBIZ|NFKB2|CCL7|GPR68|LIF|NFKBIE
MEISSNER_NPC_HCP_WITH_H3K27ME3	0.00735294117647059	0.0551412691060676	0.545391170496283	2.15873522881659	0	77	GPR139|NKX2-5|MIXL1|CYP2S1|MESP1|PRDM13|VSTM2L|GSX2|CRB3|ALX3|WNT10A|POU2F3|KCNK15|FOXN4|GATA5|SIX6|C1QTNF4|HOXC12|BHLHE23|HOXD9|FOXL1|SFRP5|SIGIRR|FEZF2|B4GALNT2|NEUROG3|HOXB9|HOXC13|DRD2|CCKBR|PRKCZ|CDX2|HOXC8|PYY|GFI1|C9orf172|DIO3|HES2|PDX1|PAX7|HOXB4|HOXA10|GPR37|HOXD12|DMRT1|ATP2B2|RIPK4|LHX5|COL15A1|PPM1N
KEGG_RIBOSOME	0.00757575757575758	0.0561927688095912	0.845297026254151	3.32085479644707	0	76	RPL41|RPS11|RPS2|RPS6|RPS3A|RPS27A|RPS20|RPL27|RPS9|RPL34|RPS25|RPS13|RPL9|RPLP2|RPL35|RPL23A|RPL35A|RPS27|RPL5|RPL18A|RPS16|RPS18|RPL30|RPL26|RPL6|RPS28|RPL10|RPS3|RPS4X|RPL36AL|RPL3|UBA52|RPL11|RPL18|RPL12|RPS19|RPL19|RPS15A|RPL17|RPLP0|RPL14|RPL8|RPS8|RPS15|RPS4Y1|RPS24|FAU|RPL36|RPS10
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.00757575757575758	0.0561927688095912	0.616481417108498	2.42192413712539	0	76	HLA-DRA|HLA-DQA1|HLA-A|IFI30|CD74|B2M|HLA-B|HLA-C|CTSL1|HLA-G|HLA-DPA1|HSP90AA1|HLA-DRB4|HSPA1B|HLA-E|HSPA8|HLA-DRB3|HSPA6|CTSS|TAP1
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	0.00757575757575758	0.0561927688095912	0.583739224109212	2.26293408952651	0	74	CTSL1|IL1R2|LITAF|ANXA1|IL1B|ZFP36|LCN2|DUSP1|AQP9|MCL1|BTG2|TLR2|PLEK|MYADM|EGR1|PSAP|EGR2|FOS|S100A4|C5AR1|CXCL2|FPR1|LSP1|FGR|ZFP36L1|CTSS|C3AR1|NDRG1|CA4|P2RY14|MMP9
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	0.00757575757575758	0.0561927688095912	0.676551303873271	2.65791617943603	0	76	NAMPT|PI3|EEF1A1|CCL2|IL8|LCP2|IL1B|IER3|ZFP36|AQP9|CD44|RPS27|ETS2|RPS16|PLEK|HNRNPC|RAB1A|EGR3|IL1R1|CXCL2|VEGFA|BCL2A1|TRIB1|PTPRE|NCOR2|CCL3|PLAU|HMGA1|GPR65|LAMB3|SKIL
HARRIS_HYPOXIA	0.00763358778625954	0.0564458773884595	0.505020686617432	1.97417311152328	0	78	SAT1|SLC2A3|CCL2|FTL|IL8|PLAUR|GAPDH|SPP1|HIF1A|PTGS2|FOS|VEGFA|TXN|VIM|TFF3|IGFBP1|CA9|ADM|BHLHE40|SLC2A1|DDIT3|TH|ALDOA|EPO|CCNG2|CDKN1A|EDN2|PGF|FGF3|CDKN1B|CA12|PDGFB|COL5A1|EDN1|LDHA|F3
MUNSHI_MULTIPLE_MYELOMA_UP	0.00769230769230769	0.0565793382047169	0.546174172877336	2.15830195373624	0	81	CD63|UBC|UBB|CXCR4|EEF1A1|NFKBIA|CD68|MCL1|GAPDH|HSP90B1|FOS|S100A4|IFITM1|NACA|HCLS1|FLT3LG|ISG20|FGFR3|CALR|USF2|TERT|PFDN5|RHOD|FZR1|CFLAR|PIM2|EIF4G2|MSI1
HILLION_HMGA1_TARGETS	0.00769230769230769	0.0565793382047169	0.493371031588511	1.94964118457776	0	81	RPS11|RPS3A|CXCR4|B2M|CTSL1|NFKBIA|FOS|C5AR1|RPL36AL|CXCL2|RPL11|RPS19|RPL19|CFL1
