GENBANK_ACCESSION	Name	Species
U35734	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF026218	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U14943	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84382	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U03698	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U88407	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L24373	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L20089	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D25275	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK026595	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L04695	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U31971	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK300685	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U38800	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U75533	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M32317	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L41214	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84694	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U74386	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50299	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L07743	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M12678	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U70528	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D85761	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L22027	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84380	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U03027	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84385	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U80945	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U21053	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84381	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50300	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L11603	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U16309	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L11666	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U04245	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84383	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U30936	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
BC007243	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D83043	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
Y13029	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50291	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U21052	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M81798	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U36392	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF130734	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L33922	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
BC091497	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50296	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK292226	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L19937	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U01848	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U64801	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M32320	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U50710	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M24033	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U04243	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D85762	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M77776	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U30904	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M32319	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L37880	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK303541	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U35431	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M77775	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L07950	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M16102	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U70529	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U17107	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF016641	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U36492	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M32318	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U04244	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AB008102	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M77777	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
BC013187	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
NM_005514	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK124160	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U03859	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L38504	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L36318	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L36591	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK301008	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50290	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK130169	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF428252	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U63653	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L09736	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U09912	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF170577	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK130654	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF389378	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L11604	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L42024	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50292	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U06862	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L32862	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U09864	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U57966	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L09735	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L04696	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AK290570	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U04787	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D87665	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L19923	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50293	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M28205	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U40498	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
